recordid,title,author,place,year,language,subject,library,notes
1.901E+13,Ordonnantie ende placcaet ons heere des conincx op t' seyt vander munte loop hebbende inde landen van herwaert souere ende dat by forme van tollerantie ter tot ende wijlen toe andersins sal worden gheordmeert,NULL,T'hantwerpen,1587,Dutch,Fifteenth Century Money,,
1.901E+13,"Placcaet ons heeren des Conincx, daerbij eenen yegelijken verboden wort te studeren/leeren residencie te houden/ oft graet in eenige faculteyten te nemen in andere vniuersiteyten/dan in de gene va den landen van herwerts ouere/ oft andere bij zijne maiesteyt conincrijckÃ© en va zijnder obediencie wtgenome alleelijck de stadt en Uniuersiteyt va hoome",NULL,Bruessel,1587,Dutch,Fifteenth Century Foreign study,,
1.901E+13,"De veltbovw ofte lantwinninghe :inhoudende eene rechte welbestellinghe eenes hofs te bouwen: cruydthouen ende fruythouen te maecken: alderhande boomen te planten: byen te houden: te distilleren. Alles beschreuen van M. Kaerle Steuens, ende M. Ian Liebaut ... eÃ± ... vermeerdert door ... Melchior Sebizius Silesius","Estienne, Charles",Amstelredam,1588,Dutch,Fifteenth Century Agriculture,,
ND5R3VID,"Die maten vant coren, assche, teer ende pot-assche.","Petri, Nicolaus",,1590,Dutch,Economics,,
1.901E+13,"Placcaet provisionael ons Ghenaedichs heeren des Conincx, daermede eenen yegelycken toegelaeten wort, niet tegen staende de voorgaende placcaeten van zyne Maiesteyt Fransche wynen te mogen aenbrengen, ende vueren op de stapulen, ende gewoonlycke plaecien, ende aldaer vercoopen",NULL,Brvessele,1590,Dutch,Fifteenth Century Tariff on wine,,
1.901E+13,"Tresoir vande maten, van gewichten/ va coorn/ lande/ vande elle ende natte mate/ cock vanden gelde ende wissel/ eÃ± ander practycquen ende vergaderinghen/ seer profptich eÃ± ghenoechlyck",undefined,Amstelredam/ Ghedruckt by my H.J. Muller,1590,Dutch,Fifteenth Century Weights and measures,,
1.901E+13,Vsance ende maniere int maken/ ende munten van goude ende silver penningen/ gewicht/ weerde eÃ± mixtie vanden selve,undefined,[n.p.],1590,Dutch,Fifteenth Century Coinage,,
1.901E+13,"Placcaet ende ordonnantie ons heeren des Conincx. Op den treyn vande negociatie ende coopmanshandel, met die van Hollandt-Zeelant ende ander, soo wel te water als te lande",NULL,T'Hantwerpen,1592,Dutch,Fifteenth Century Benelux countries,,
1.901E+13,"Nieuwe liste van het recht van licenten, datmen voortaen betalen sal voor alle toeghelaten ende ghepermitteerde waeren/ ende coopmanschappen/varende naer de landen ghehouden by den vyant ende rebellen/ ende die van daet comen / met declaratie op d'eynde vande Spetien vande verbode coopmanschappen",NULL,T'Hantwerpen,1594,Dutch,Fifteenth Century Tariff,,
1.901E+13,"Placcaet ende ordonnantie ons ... heeren des Conincx. Inhoudende den voet ende orden diemen voortaen houden sal op t'stuck vanden coopmanshandel ende trafijcke op licenten met Hollant, Zeelant ende andere landen gheoccupeert by de vyanden ende rebellen",NULL,T'Hantwerpen,1594,Dutch,Fifteenth Century Benelux countries,,
1.901E+13,"Placcaet ende ordinantie ons ... heeren des Conincx. Inhoudende den voet ende orden diemen voortaen houden zal op tstuck van de coopmGshandel ende traffycke op licenten met Hollandt, Zeelandt ende andere landen houdende de tegenpartye van zyne Conincklycke Maiesteyt",NULL,Brvessel,1595,Dutch,Fifteenth Century Benelux countries,,
1.901E+13,"Nievwe liste van het recht van licenten, datmen vo ortaen betaelen sal voor alle toegelaten ende ghepermitteerde waeren, ende coopmanschappen, varende naer de landen ghehouden by den vyant ende rebellen, ende die van daer comen, met declaratie op d'eynde vande Spetien vande verboden coopmanschappen",NULL,Brvessel,1597,Dutch,Fifteenth Century Tariff,,
1.901E+13,"Placcaet ende ordinantie ons genaedichs heeren des Conincx. InhoudOde den voet ende orden diemen voortaen houden zal, op t stuck van de coopmans-handel, ende traffycke op licenten met Hollandt, Zeelandt ende andere landen houdende de tegenpartye van zyne Conincklycke Maiesteyt",NULL,Brvessel,1597,Dutch,Fifteenth Century Benelux countries,,
1.901E+13,Ordonnantie ende willekeuren by den heeren vande gherechte der stadt Amstelreddamme ghemaeckt op tstuck vande asseurantie,NULL,Amstelredam,1598,Dutch,"Fifteenth Century Insurance, Marine",,
1.901E+13,"[Het boeck der secreten, inhoudende die condition ... ofte verbindtenisse der Coninginne van Enghelant ende der gheunieerde Provincien ... besloten den x. Augusti 1585 ... ende ... den vi. Augusti 1598 ...]",NULL,[n.p.],1599,Dutch,Fifteenth Century Netherlands,,
1.901E+13,"Placaert van haere dorluchticghe hoocheyt, infante, etc. princesse van onse Nederlanden ... nopende t'verboht eÃ± interdicte vÃ  alle communicatie, traffijcke, eÃ± coopmanschappe net die van Hollandt, Zelandt, ende andere huere gheunieerde ende gheunieerde ende adherenten",NULL,Brvssel,1599,Dutch,Fifteenth Century Netherlands,,
1.901E+13,"Instructie ghemaeckt by mijne heeren Staeten van Brabandt, achteruolgende der welcker men tellen sal allen de heerden van allen de schouwen, oefuens; asten, fournaysen met den ploeghen binnen den lande van Brabant beuonde innen ende collecteren die impositie",NULL,Brvssel,1600,Dutch,Fifteenth Century Hearth-money,,
GFHX2TIG,"A treatise of commerce, wherin are shewed the commodies arising by a wel ordered trade.","Wheeler, John",,1601,Dutch,Economics,,
1.901E+13,Ordonnantie ende instrvctie daer opmen van wegen die dry Staeten des Lants ende Hertochdoms van Brabant collecteren ... de middelen geaccordeert ende opghestelt totfurnissemente vande nieuwe extraordinarise bede,NULL,Brvssel,1601,Dutch,Finance Brabant (Duchy),,
1.901E+13,Placcaet ende ordinancie belangende de oepeninge ende restauratie vanden traffyck ende coopmans-handel van Spaignien mette landen van herwerts-ouere hoewel zij gheweken zijn vande onderdaenicheyt vande deurluchtichste Eertz-hertogen onse souuereyne ... Princen,NULL,Brvessel,1603,Dutch,Commerce Netherlands,,
1.901E+13,Articulen van het contract ende accort ghemaeckt tusschen Jacobus den eersten ... Coninck van Enghelandt ... ende Philips den derden ... Coninck van Spaengnien: midtgaders de Eertshertoghen Albertus ende Isabella Clara Engenia [sic] Gemaect ... den xviijen der maenti Augusti duysent seshondert en viere naer den ouden stijl. Wt het Enghels in het Neder-duytsch overgheset,NULL,Londen,1604,Dutch,General Great Britain,,
1.901E+13,"Beeldenaer, ofte figuer-boeck / dienende op de nieuwe ordonnantie vander munte / ghearresteert ende wt-ghegheven by de ed. heeren Staten van Hollandt ende West-Vrieslandt op den xixen. Decembris anno 1603",NULL,In s'Graven-Haghe,1604,Dutch,Finance Foreign exchange,,
705,"Eenentwintich |artÄ_ckelen, waer van de zeventien toucheren de trafÄ_cken, ende de vier de liberteyt der conscientie, overghegheven door de generale kooplieden van Enghelandt, aen de ghecommitterde van syne majesteyt, tracterende met den ambassadeur van Spaengien",NULL,"Rotterdam, J. van Waesberghe, 1604",1604,Dutch,"Theology (Christian doctrine) , History (Great Britain and Ireland) , Period documents , Economics",,
1.901E+13,"Placcaet vande Eertshertoghen, soo op de revocatie van sekere voorgaende placcaet vanden vyfden Aprilis 1603, aengaende den coopmans-handel van Spaignien, als nopende t'ghene sijne Majesteyt alsnv heeft geresolueert belanghende den seluen Coopmans-handel",NULL,Brvessel,1605,Dutch,Commerce Belgium,,
1.901E+13,"Placcaet ende ordonnantie van hunne hoocheden, stellende ordre ende reglement op de swaericheyden ende beletselen hier voormaels ghedaen inde hauenen vanden Conincryke van Spaignien, aengaende de coopmanschappen ende manufacturen gemaect inde ghehoorsaeme prouincien van hunne voors. Hoocheden/eÃ± die va hunne rebelle",NULL,Brvessel,1606,Dutch,Commerce Netherlands,,
1.901E+13,Placcaet vande eertshertoghen onse ghenaedichste ... Princen. Verbiedende eenenyeghelijcken te draeghen oft transporteren goudt oft ziluere wt de landen van hunne ghehoorsaemheyt,NULL,Brvessel,1607,Dutch,Finance Precious metals,,
AUANMSXV,Theses svbseqventes desvmtas ex ampla et in foro usitata materia emtionis-venditiones,"Serapius, Joannes",,1607,Dutch,Economics,,
1.901E+13,Bedenckinghen over den staet vande vereenichde Nederlanden: nopende de zee-vaert/ coophandel/ ende de gemeyne neeringe inde selve. Ingevalle den peys met de aerts-hertogen inde aen-staende vredehandelinge getroffen wert. Door een lief-hebber eenes oprechten ende bestandighen vredes voorghestelt,"Usselincx, Willem",Unknown,1608,Dutch,Commerce Netherlands,,
1.901E+13,Beeldenaer ofte figuer-boeck dienende op de provisionele ordre vander munte uytghegeven by ... de Staten Generael ... op den sesten Octobris 1608. In welcke gerepresenteert zijn alle de figueren van goude ende silvere munte cours... hebbende in crachte der selver Ordonnantie,NULL,s'Graven-Haghe Hillebrant Iacobsz,1608,Dutch,Finance Foreign exchange,,
19010357S01000,"Buyr-praetjen : ofte tsamensprekinge aende discours, op den brieff vanden agent aerssens uyt vranckrijck, aende eedele moghende heeren Staten generael geschreven",NULL,[s.l.],1608,Dutch,Politics,,
1.901E+13,"Discovrs by forme van remonstrantie: vervatende de noodsaeckelickheyd vande OosIndische navigatie, by middel vande welcke, de vrye Neder-landsche Provintien, apparent zijn to gheraecken totte hooghste prosperiteyt, int stuck vande alder-rijck ende costelijckste waren vande gheheele werelt","Usselincx, Willem",Ghedrvckt anno,1608,Dutch,Commerce Netherlands,,
1.901E+13,Grondich discours over desen aen-staenden vrede-handel,"Usselincx, Willem",[Amsterdam?],1608,Dutch,Commerce Netherlands,,
1.901E+13,"Memorie vande ghewichtighe redenen die de heeren Staten generael behooren to beweghen, om gheensins te wijcken vande handelinghe ende vaert van Indien","Usselincx, Willem",[2.ed.verb. n.p.],1608,Dutch,Commerce Netherlands,,
1.901E+13,"Naerder bedenckingen, over de zee-vaerdt/ coop-handel ende neeringhe/ als mede de versekeringhe vanden staet deser vereenichde landen/ inde teghenwoordighe vrede-handelinghe met den coninck van Spangnien ende de aertshertoghen. Door con lief-hebber eenes oprechten, ende bestandighen vredes voorghestelt","Usselincx, Willem",[n.p.] Ghedruckt in het jaer ons Heeren,1608,Dutch,Commerce Netherlands,,
1.901E+13,Placcaet ende ordonnantie van de Grootmoghende Heeren die Staten Generael ... houdende de reductie van den cours van alle goude ende silvere penningen opten voet van het Placcaet by haer Mo: Ed. den een-en-twintichsten Marti sesthien-hondert ses geemaneert mitsgaders berclaringe tot wat prijse de selue by tollerantie totten xven Octobris sesthienhondert ende acht ontfanghen ende uytgegeuen sullen mogen werden,NULL,s'Graven-Hage,1608,Dutch,Finance Money,,
1.901E+13,"Vertoogh, hoe nootwendich, nut ende profijtelick het sy voor de vereenigh de vederlanden te behouden de vryheyt van te handelen op West-Indien, inden vrede metten coninck van Spaignen","Usselincx, Willem",[n.p.],1608,Dutch,Commerce Netherlands,,
1.901E+13,"Continuatie vande tollerantie ofte permissie vanden cours van alle goude ende silvere penninghen inde Vereenichde Provintien voor ... September, October eÃ± November des jaers sesthien-hondert ende negen... by ordere vande ... Staten Generael ... [27 August 1609]",NULL,s'Graven-Haghe,1609,Dutch,Finance Money,,
1.901E+13,Onpartydich discours opte handelinghe vande Indien,"Usselincx, Willem",[Amsterdam?],1609,Dutch,Commerce Netherlands,,
1.901E+13,"Beeldenaer ofte figuer-boeck dienende op de nieuwe ordonnantie vander munte gearresteert ... by de ... Staten Generael ...op den sesten Julij 1610. In welcke gerepresenteert zijn alle de figueren van goude ende silvere munte, cours ... hebbende in crachte der selver ordonnantie",NULL,s'Graven-Haghe,1610,Dutch,Finance Foreign exchange,,
1.901E+13,"Placcaet ... soo opten cours van t'gelt, als opte politie ende discipline betreffende d'exercitie vande munte eÃ± muntslach",NULL,s'Graven-Haghe,1610,Dutch,Finance Banking law,,
1.901E+13,"Placcaet van onse alder-ghenaedichste heeren ende princen die Efrtzhetoghen [sic.] Ghemaeckt opt collecteren van hunne hoocheden recht, d'welck sylichten op die waeren en coopmanschappen gaende oft commende naer oft van de gheunieerde Prouincen",NULL,Brvssel,1610,Dutch,Finance Benelux countries,,
1.901E+13,Vita politica het burgherlick leven/ Anno 1590. beschreven ... Ende nv alle menschen/ van hogen ende legen state/ in desen beroerlicken tijdt seer nuttelick ghelesen,"Stevin, Simon",Delf,1611,Dutch,General Political science,,
1.901E+13,"Beeldenaer ofte figuer-boeck dienende op de nieuwe ordonnantie vander munte gearresteert ... by de ... Staten Generael ...op den sesten Julij 1610. In welcke gerepresenteert zijn alle de figueren van de goude ende silvere munte, cours ... hebbende in crachte der selver ordonnantie",NULL,s'Graven-Haghe,1613,Dutch,Finance Foreign exchange,,
1.901E+13,Ordinantie ende placcaet van de Ertzhertoghen/ onse souuereyne princen/ waer by verboden worde alle vrempde copere munten/ oock de stuyuers ende halue stuyuers van siluer/ gheslagen buyten de landen vande onderdanicheyt van heure hoocheden,NULL,T'Hantwerpen,1614,Dutch,Finance Coinage,,
68V934PG,Praxis banccÃ_-ruptorum huius seculi.,"Sauterius, Daniel",,1615,Dutch,Economics,,
1.901E+13,"Cort verhael van het grouwelick ende verradelijck vergiftighen van eenen edelen ridder, Sir Thomas Overberry ghenaemt: in't werck ghestelt door den Grave van Sommerset, met sijn huysvrou",undefined,Amsterdam,1616,Dutch,"Miscellaneous Overbury, Thomas,",,
1.901E+13,"Weegh-schael, om ... recht te overweghende oratie van den ... Heere Dudley Carleton, Ambassadeur van den ... Coningh van Groot Brittannien ... ghedaen inde vergaderinghe der ... Staten Generael: ghemaeckt tot grondighe aenwijsinghe van den ... huydendaechsche on-eenicheyden in de kercke ende politie","Taurinus, Jacobus",[n.p.],1617,Dutch,"General Carleton, Dudley,",,
6WHHVACC,"De coopman. AenwÄ_sende d'oprechte conste, om christelÄ_ck coophandel te drÄ_ven.","Coornhert, Dirck Volckertszoon",,1620,Dutch,Economics,,
1.901E+13,Placcaet ende ordonnantie beroerende het vanghen souten havenen packen op-hooghen ende legghen vanden haringh etc,NULL,Delf,1620,Dutch,Agriculture Herring industry,,
1.901E+13,Caerte oft lyste inhoudende den prijs van elck marck/ once/ enghelschen/ ende aes troys gewicht/ van alle de specien van gout oft siluer zijnde verboden/ te licht/ oft te seer versleten,NULL,T'Antwerpen,1621,Dutch,Finance Foreign exchange,,
KWPGABXQ,"De mercatvra decisiones, et tractatvs varii, et de rebvs ad eam pertinentibvs.","Straccha, Benvenutus",,1622,Dutch,Economics,,
19010064S00300,"De veltboww, ofte Lant-winninghe / beschreven van Kaerle Stevens ; ende nu verm. door Melchior Sebizius","Estienne, Charles",Amsterdam,1622,Dutch,Agriculture Agriculture,,
2475,"Derde discovrs. |VVaer in by forme van missive den geheelen staet van de Vereenichde Oost-Indische Compagnie vvort ten vollen geremonstreert [...]. Ende met goede redenen bewesen, dat [...] dese West-Indische navigatie [...] met gelijcken succes sal gesegent worden",NULL,NULL,1622,Dutch,"History (Netherlands) , History (Asia) , History (America) , Period documents , Economics , Dutch East India Company , West India Company",,
2461,"Derde discovrs. By forma van missive, daer in [...] vertoont wort, de nootwendicheyt des Oost ende West-Indische navigatie",NULL,"In druk ghebracht, by de liefhebbers der",1622,Dutch,"History (Netherlands) , Period documents , Economics",,
82UC43K6,"Levendich discovrs vant ghemeyne lants welvaert, voor desen de Oost, ende nu oock de West-indische generale Compaignie aenghevanghen, seer notabel om lesen.",,,1622,Dutch,Economics,,
1.901E+13,"Ordonnantie ons heeren des conincx. Nopende het vuytuoeren, ende passagie vande peerden, veulens, ende merrien",NULL,Brvssel,1622,Dutch,Commerce Horse trading,,
1.901E+13,"Placcaet ende ordonnantie ons ghenaedichs heeren des Conincks. Inhoudende den voet onde orden diemen voortaen binnen Ruermonde, venlo eÃ± l'Fort van Aerssen houden sal int lichten vande licenten vande coopmanschappen, passerende ende repasserende opden maesstroom",NULL,Brvessel,1622,Dutch,Commerce Meuse River,,
1.901E+13,"Naerder interpretatie limitatie, ende verclaringhe op de leste placcaten, ordinantien, ende reglement onsen ghenadichste Heere des Conincx, uytghegeuen den tweden dach Mey 1622. Inhoudende den voet ende orden diemen voortaen binnen Ruermonde, Venio ... houden sal int lichten vande licenten vande coopmanschappen",NULL,Brvssel,1623,Dutch,Commerce Meuse River,,
1.901E+13,"Ordonnantie des koninghs onses ghenadighsten heere ende prince. Op't stuck vande wacht, soo vande gulden als vande borgherlijcke vendelen der stadt van Antwerpen",NULL,T'Antwerpen,1623,Dutch,Commerce Antwerp (Belgium),,
1.901E+13,Ordonnantie ende liste ons heeren des Conincx. Op het lichten ende ontfanck van synen Zeeuschen Thol binnen syne Stadt van Antwerpen,NULL,Brvessel,1623,Dutch,Finance Tariff,,
1.901E+13,"Placcaert ende ordonnantie des Conincx onsen heere, op stuck van de paspoorten",NULL,Brvessel,1623,Dutch,Miscellaneous Passports,,
VE2ZQMT2,"Positien, door de vvelcke blÄ_ct dat d'Oost-Indische compagnye in de maent van april 1623. alhier te lande soo veel effecten hadde, alsse schuldich was",,,1623,Dutch,Economics,,
1.901E+13,Voortganck vande West-Indische compaignie. Dat is: Levendigh discours/ duydelijck ende krachtelijck verthoonende/ hoe nootwendigh ende profytelijck/ voor den staet vande landen in het gemeen/ ende allerley inwoonders in het particulier/ sy den voortgang vande langh-ghewenschte West-Indische compaignie/ ende met wat vlijt ende ernst/ elck patriot/ nasijn vermoghen/ moet helpen arbeyden/ om de selve metten eersten in treyn te doen brenghen. Gestelt door een oprecht patriot ende liefhebber vanden gemeenen welstant,Oprecht patriot ende liefhebber vanden gemeenen welstant,"t'Amstelredam, Marten Iansz",1623,Dutch,Finance West-Indische Compagnie (Netherlands),,
2648,"Klaer |vertooch van de schadelÄ_cke directie der bewinthebberen der Vereenichde Oost-Indische Compaignie in vier iaren, nae dat het accoort met d\'Engelsche Compaignie gemaeckt is gheweest",NULL,"Rees, P. Gerritsz., 1624",1624,Dutch,"History (Netherlands) , Period documents , Economics , Dutch East India Company",,
1.901E+13,"Nieuwe Wereldt ofte beschrijvinghe van West-Indien, wt veelderhande schriften ende aen-teeckeninghen van verscheyden natien by een verfamelt","Laet, Joannes de",ende met noodighe kaerten ende tafels voorsien. Leyden,1625,Dutch,General America,,
827WWT7C,"Problemata quÃ_dam theologica, contra quosdam Ã  vera religione dissentientes.","Birdama, Focco Cornelius",,1625,Dutch,Economics,,
1.901E+13,Beeldenaer ofte figuer-boeck dienende op de nieuwe Ordonnantie vander munte,NULL,'sGraven-Haghe,1626,Dutch,Finance Foreign exchange,,
EPKSW8QG,Casvs cort verhael ende remonstrantie van alsulcken proceduere begonst den 20. septemb. anno 1625. nopende de sommatie previlegiael die de natie vande brouwers tot Antwerpen ten laste vade gemeyne ingesetene pretenderen tusschen. Hendrick Peeters representerende de ghemeyne tappers teghens. Hendrick Stockmans representerende de brouvvers natie,,,1626,Dutch,Economics,,
1.901E+13,"Naerder ordonnantie ende reglement ons genadichs heeren des Conincx. Nopende het lichten vande beden inde Landen ende hertochdom van Limborch, Valckenborch, Daelhem, ende s'Hertoghen-rade",NULL,Brvssel,1626,Dutch,Finance Intergovernmental fiscal relations,,
1.901E+13,"Placcaet ons heeren des Conincx. Inhoudende verbodt van te voeren naer de landen zynde ouder de onderdanicheyt vanden Coninck van Groot-Britaignien eenige coopmanschappen ofte waeren dienende tot de oorloghe, &c",NULL,Brvssel,1626,Dutch,Commerce Netherlands,,
1.901E+13,Renovatie van't Placcaet vande munte vanden 21 Julij 1622 mette ampliatie van dien waer nae alle ende yeghelijcke Jngesetenen der Vereenighde Nederlanden hun voort-aen sullen hebben te reguleren,NULL,'sGravenhaghe,1626,Dutch,Finance Foreign exchange,,
2854,"Octroy ofte privilegie, soo by den alderdoorluchtigsten grootmachtigen vorst ende heer heer Gustaeff Adolph, der Sweden, Gotten und Wenden koningh [...]. Aen de nieuw opgerichte Zuyder Compagnie [...] verleend is, mitsgaders een naerder bericht, over\'t selve octroy.",Willem Usselincx (1567-1647),"\'sGraven-hage, A. Meuris ",1627,Dutch,"History (Scandinavia) , Period documents , Economics",,
1.901E+13,Placcaet nopende het sovt wtgaende naer de vremde landen,NULL,Brvssel,1627,Dutch,Commerce Salt industry and trade,,
1.901E+13,Placcaet ons heeren des Conincx. Nopende het innecomen vande peerden comende van Westphale ende andere neutrale landen,NULL,Brvssel,1627,Dutch,Commerce Horse trading,,
1.901E+13,Placcaet ons heeren des Conincx. Verbiedende de bergh-werckers oft yser-gieters van dese landen te gaen wercken in het Coninckryck van Sweden,NULL,Brussel,1627,Dutch,"Trades and Manufactures Alien labor, Belgian",,
1.901E+13,Moderatie ende interpretatie van het Placcaet prouisionel/ op het stuck van het lichten vande beden inde Landen/,NULL,Brvssel,1628,Dutch,Finance Intergovernmental fiscal relations,,
1.901E+13,"Consideratien ende redenen der e. heeren bewind-hebberen, vande geoctrojeerde West-Indische compagnie inde vergaederinghe vande ... Staten generael deser vereenigde vrye Nederlanden overgelevert, nopende de teghenwoordige deliberatie over den treves met den coning van Hispanjen. Midtsgaders conscientieuse bedenckingen op dese vrage, ofmen in goeder conscientie mach treves maecken met den coning van Spangjen",NULL,Haerlem,1629,Dutch,Politics Netherlands,,
1.901E+13,"Fondament vande wisselhandeling: onderrichtingh ghevende van alle voornaemste wisselen van Christenrijck, so van trates remessen, vergelijcking van prysen, verscheyden commissien te vormen","Velden, M. van (Martin)",t'Amsterdam,1629,Dutch,Commerce Foreign exchange,,
922JKVHI,"Ontvverp, raeckende het op-rechten van een camer van asseurantie, ofte versekeringe vande zee-vaert",,,1629,Dutch,Economics,,
WNPBHUZQ,"Responsio ad duas quÃ_stiones, An usura sit licita? An magistratus sine lÃ_sione conscientiÃ_ tolerare & permittere possit mensam usurarii.","Busch, Henricus",,1629,Dutch,Economics,,
7GMJPVDX,Appendix ofte by-voechsel op't manuael,,,1630,Dutch,Economics,,
UAG9QAFN,"GrÃ_ntlicher kegenbericht vom wahren Remedio der gegenwwertiger Thewrung am Getreidig in Niederlandt, vnnd was bey der Musscowischen Handlung zu bedencken sey",,,1630,Dutch,Economics,,
3141,"Klaer-bericht ofte aenvvysinge. Hoe ende op wat wÄ_se, de tegenwoordige dierte der granen sal konnen geremedieert werden.",Joost Willemsz NÄ_kerke,"Hoorn, M. Gerbrantsz ",1630,Dutch,Economics,,
WZ858EU7,Klarer Bericht oder vnterweisung wie vnd auff was weise diese gegenwertige Thewrung des GetrÃ_yds kÃ¶nnen remediret vnd die Schiffahrt dieser Lande vermehret werden.,"Nijkerke, Joost Willemsz",,1630,Dutch,Economics,,
1.901E+13,"Manvael of lijste, naer de welcke de wisselbancken ende gheswooren wisselaers hen sullen hebben te reguleren/ in 't opwisselen vande wtheemsche soo gout-guldens ... alle by het placcaet vande ho. mo. heeren Staten generael/ van date den eersten Augusti 1630. voor billoen verklaert ende verboden",NULL,In 'sGraven-Haghe,1630,Dutch,"Finance Coins, European",,
1.901E+13,"Ordonnantie ende liste vanden grooten brabantschen swygenden lanthol, gheleyde ende peert-ghelde",NULL,Brvssel,1630,Dutch,Finance Tariff,,
1.901E+13,Ordonnantie ons heeren des Conincx. By de welcke zijne Majesteyt verbiedt het vervueren vanden salpeter ende buspoyer/ ende gheeft reglement op de ondersoeckinghe van diers/ ende t'ghene daer aen deeft,NULL,Brvssel,1630,Dutch,Commerce Saltpeter industry,,
1.901E+13,Placcart daer mede wordt verboden allen coophandel ende trafyck ten platten lande tusschen d'ondersaeten van Brabant ende Quermaese ende de prouincien van Hollandt/ Zeelandt/ ende hunne adherenten,NULL,Brvssel,1630,Dutch,Commerce Netherlands,,
VITR74PX,"Teghen-bewys op het klaer bericht ofte aenwÄ_singhe, hoe ende op wat wÄ_se de teghenwoordighe dierte der granen sal konnen geremedieert worden",,,1630,Dutch,Economics,,
T6R9KPCD,"Een tractaet van avarien, dat is Ghemeene contributie vande koopmanschappen ende goederen inden schepe bevonden.","Weytsen, Quintyn",,1631,Dutch,Economics,,
3194,GrontlÄ_cke tegen-bericht van de waerachtige remedie den tegenwoordige dierte in de granen in Nederlandt.,NULL,"[Amsterdam], ",1631,Dutch,"History (Netherlands) , Economics , Period documents",,
3189,"Naerder bericht, ofte Aenwysinge, hoe en op wat maeniere datmen altÄ_dt goedt koop broodt voor de gemeynte sal veroorsaecken.",Joost Willemsz Nykerke,"Amsterdam, B. Jansz. ",1631,Dutch,"Economics , Period documents , History (Netherlands)",,
1.901E+13,Ordonnancie ende instructie naer de welcke voort-aen hen moeten reguleren die ghesworen wisselaers ofte collecteurs vande goude ende silvere penningen wesende verboden gheschroyt te licht oft te seer verslaten ende oversulcx verclaert ende ghehouden voor billoen daer toe gecommitteert om de selve te leveren inde munten van Sijne Majesteyt ende al daer bekeert te worden in penninghen van hunnen flaghe,NULL,t'Antwerpen,1633,Dutch,Finance Coinage,,
