id, name, birth_loc, pocc, marriage, lastname
96,Bathie George Kinnaird,England,,m 18 Sep 1828 Hammersmith= London= Kitty Atwood Charlotte b 10 Jul 1829 Eliza Maria b 16 Jun 1831= Catherine Frances b 7 Oct 1834,George
97,Bax Henry Bonham,Preston Kent,,m 9 Jun 1829 St George's Bloomsbury= London= Ann Hanson Henry Allen b 15 Sep & bap 12 Oct 1830 St George's Bloomsbury William Hanson bap 30 Jul 1833 Walmer= Kent,Henry
98,Bayliff Thomas Gabriel,Lambeth,,,Thomas
99,Baylis Philip,,,,
100,Baynes William,Stowmarket Suffolk,,,William
101,Beach Charles,,,,Charles
102,Beadle Samuel,Erith Kent,,,Samuel
103,Beale Joseph,,,,Joseph
104,Beamish George,,,,George
105,Beawes William,,,,William
106,Becher Henry,Wokingham Berks,,,Henry
107,Beckford Thomas,,,,Thomas
108,Beddiford Nicholas,,,,
109,Beeckman Daniel,,,,Daniel
110,Beevor Horatio,,,,
111,Bell John,,,,John
112,Bendy Richard,,,,Richard
113,Benfield Richard,,,,Richard
114,Benson Henry,St Alphage's pa Canterbury,Rev,,Henry
115,Benson William Earl,,,,William
116,Bere George,,,,George
117,Beresford William,,,,William
118,Berrow Edward,,,,
119,Best George,,,,George
120,Best Thomas,,,,Thomas
121,Betton Robert,,,,Robert
122,Betts Luckyn,,,,Luckyn
123,Bickell John,,,,
124,Bickley ?,,,,
125,Biden Christopher,Houghton Hunts,,,Christopher
126,Birch Jonathan,Alford,rev,,Jonathan
127,Birch William,,,,William
128,Birkdell James,,,,James
129,Birkhead Charles,,,,Charles
130,Bishop James Thomas,,,,James
131,Bitham George,,,,George
132,Blachford George,,,,George
133,Black ?,,,,
134,Blackburn John,,,,John
135,Blackman Jeremy,,,,Jeremy
136,Blackman Maurice,,,,Maurice
137,Blackwell Duncomb,,,,
139,Blair Thomas,,,,Thomas
140,Blake Benjamin,,,,Benjamin
141,Blake John,,,,John
142,Blakely William R.,,,,
143,Blanshard John,St Mary's Newington Surrey,,,John
144,Blanshard John Atkinson,,,,John
145,Blany Thomas,,,,
146,Blewitt John,,,,John
148,Blow Thomas,,,,Thomas
149,Blundell William,,,,William
150,Blyth James,,,,James
151,Blyth Richard,,,,Richard
152,Boddam Charles,,,,Charles
153,Bolton Richard,,,,Richard
154,Bond Essex Henry,Greenwich= Essex,mariner,,Essex
155,Bond John,,,,John
156,Bonham Charles,,,,
157,Bonham George,St Andrew's Holborn London,gent,,George
158,Bonham Pison,,,,
159,Bonnell John,,,,John
160,Bookey Matthew,,,,Matthew
161,Bookey William,,,,William
162,Bootle Matthew,,,,Matthew
163,Bootle Robert,,,,Robert
164,Borradaile Thomas,England,,,Thomas
166,Boucker Benjamin,,,,
167,Boulderson Joseph,Falmouth,,,Joseph
168,Boultbee Edward Moore,Rotherby Leics,esq,,Edward
169,Boulton Richard,,,,Richard
170,Bowen Robert,,,,Robert
171,Bowen William Atkins,Cork,,,William
172,Bower John,,,,John
173,Bowers John,,,,John
174,Bowland John,,,,John
175,Bowman David,Forfar Angus,,,David
176,Boyce John,England,,,John
177,Boyd Matthew,,,,Matthew
178,Boyes Thomas,,,,Thomas
179,Brabazon William,Drogheda 3rd,esq,,William
180,Braddyll John,,,,John
181,Bradford Edward Chapman,England,,,Edward
183,Braithwaite George Mott,St Pancras London,,m 3 May 1827 St Luke's= Chelsea= Louisa Strutt Edmund b 20 Feb 1828 Albert George b 1 May 1830 Constantine John b 24 Dec 1831,George
184,Brand William and Robert Pope,,,,
185,Braund Benjamin,,,,Benjamin
186,Bressey William,,,,William
187,Bretrell Thomas,,,,
189,Bridges William,,,,William
190,Bristow Henry,St Giles_in_the_Fields London,,,Henry
191,Broadley Henry,,,,Henry
192,Broadley John,,,,John
193,Bromfield Philip,,,,Philip
194,Bromwell John,,,,
195,Brooke Robert,,,,Robert
196,Brookhaven John,,,,John
197,Brooks Octavus,,,,
198,Brooks Richard,,,,Richard
199,Brooks Robert,England,,,Robert
200,Broughton Bryan,St Cuthbert's pa Edinburgh,excise accountant,m 26 Jul 1827 Eccles= Berwicks= Beatrice dau of William Hunter of Glenormiston= Peebles= Janet Cecilia b 26 Mar 1830= Cecilia Anne b 24 Mar 1832= Edward b 18 Mar 1834,Bryan
201,Brown Benjamin,,,,Benjamin
202,Brown Christopher,,,,Christopher
203,Brown Edward,Stockton_on_Tees,shipMaster,,Edward
204,Brown Forster,,,,Forster
205,Borwn James,,,,
206,Brown James Temple,,,,James
207,Brown John,,,,John
208,Brown Robert,,,,Robert
209,Brown Robert Hunter,Kilmarnock,writer,,Robert
210,Brown Robert Railston,,,,Robert
211,Brown Thomas,,,,Thomas
212,Browne Gunter Lyde,,,,
213,Browne Leonard,,,,Leonard
214,Browne Philip,,,,Philip
215,Browne Thomas,,,,Thomas
216,Buchanan Thomas,Perthshire,,,Thomas
218,Buchnan John,,,,
219,Buggin James,,,,James
221,Bull Samuel,,,,Samuel
222,Bullock Henry,,,,Henry
223,Bunn Benjamin,,,,
224,Burdett Richard,,,,Richard
225,Burdett Robert,,,,Robert
226,Burges Henry,St Mark's pa Dublin,rev,,Henry
227,Burgess Thomas,,,,Thomas
228,Burgess. William,,,,
229,Burgh ?,,,,
230,Burnett James B.,,,,
231,Burnyeat Philip,Lorton Cumberland,,,Philip
232,Burrish George Luke,,,,George
233,Burrowes Christopher,,,,Christopher
234,Burrowes Robert,Ireland,,,Robert
235,Burt Patrick,,,,Patrick
236,Burt Patrick Henry,Greenwich,Capt= EICS,,Patrick
237,Butler Charles William,St George's Hanover Sq London,rev,,Charles
238,Butler Samuel,,,,Samuel
239,Butler Thomas,Hemingborough Yorks,,,Thomas
240,Butta Emanuel,,,,Emanuel
241,Buttenshaw Thomas,,,,
242,Caise John,,,,John
243,Calbreath George,,,,George
244,Camell John,,,,John
245,Cameron Allan,,,,Allan
246,Cameron John,Lundaaray Inverness,,,John
247,Cameron Peter,Fort William Inverness,,,Peter
248,Campbell Alexander,Keilmoe Scotland,,,Alexander
249,Campbell Archibald Henry,Madras,,,Archibald
250,Campbell John,,,,John
251,Campbell Patrick,,,,Patrick
252,Campbell Peter,Campbeltown Argyle,esq,,Peter
253,Campbell Walter,Edinburgh,,,Walter
254,Campbell William,,,,William
255,Cape Jonathan,,,,Jonathan
256,Carey Richard,,,,Richard
257,Carnegy James,,,,
259,Carr Robert,,,,Robert
260,Carr William,,,,William
261,Carruthers Walter,America,,m 19 Oct 1791 Chatham= Kent= Mary Carruthers,Walter
262,Andrews Joseph,England,,,Joseph
263,Carswell John,,,,John
264,Carter Edwin,,,,Edwin
265,Carter Roger,,,,Roger
266,Castleton Samuel,,,,Samuel
267,Catline William,,,,William
268,Cattin William,,,,William
269,Andrews Thomas Welladvice,St Paul's Deptford,gent,,Thomas
270,Chamblet Samuel,,,,Samuel
271,Chambre James,,,,
272,Chapman Alfred,Wanstead Essex,,m 20 Jul 1824 St Marylebone= London= Caroline dau of Sir Francis Workman McNaghten= Kt= Letitia Maria b 14 Jun 1825= Alfred Daniel b 22 May 1827= Francis Steuartb 3 Aug 1829= Edmund Henry b 14 May 1831= William Hay b 25 Sep 1832,Alfred
273,Chapman Henry Cleaver,,,,Henry
274,Charlton William,,,,William
275,Charretie John,,,,
276,Chatfield Allen,England,,,Allen
277,Chauvet David,,,,David
278,Cheap Thomas,,,,Thomas
279,Cheyne Francis,,,,Francis
280,Chick Edward Lord,,,,Edward
281,Chisolme Charles,,,,
282,Christian Edward,,,,Edward
283,Christie Charles,Baltimore America,,,Charles
285,Christopher Henry,Limehouse Stepney London,,m 9 Aug 1798 St Botolph Aldgate= London= Jane Olivia Buddle= of Shadwell Henry John Harrison b 23 Feb 1808,Henry
286,Christopher John,,,,John
287,Chrystie Alexander,Newburn Fife,,m Anne= Margaret b 20 Oct 1828= John Alexander b 27 Jul 1830,Alexander
288,Churchill Henry,England,,,Henry
289,Clapham Thomas,,,,Thomas
290,Clark Thomas,,,,Thomas
291,Clarke Charles,,,,Charles
292,Clarke Daniel,,,,Daniel
293,Clarke John,,,,John
294,Clarke Patrick,,,,
295,Clarke William Stanley,St Botolph Aldersgate London,,,William
296,Clarkson Joseph,England,,,Joseph
297,Clements John,,,,John
298,Clevenger Charles,,,,Charles
299,Cliff Henry,,,,Henry
300,Clifford Richard,Monthrath Queen's co Ireland,,,Richard
301,Clifton William,,,,William
302,Coates Thomas,,,,Thomas
303,Coatsworth Charles,,,,Charles
304,Cobb Henry,England,,,Henry
305,Cobham Stephen,,,,Stephen
306,Cobreth William,,,,William
307,Coggan John,,,,John
308,Cole Richard,Monken Hadley Herts,,,Richard
309,Collett Jonathan,,,,Jonathan
310,Collett Pitt,St Anne's Soho London,,,Pitt
311,Collett Thomas,,,,Thomas
312,Collier Joseph,,,,Joseph
313,Collins John,,,,John
314,Collins Lorenzo,,,,Lorenzo
315,Colnett Richard,Plymouth,,,Richard
316,Colthurst Christopher,,,,Christopher
317,Compton Thomas,,,,Thomas
318,Compton William,,,,William
319,Congreve Ralph,,,,Ralph
320,Connis John,,,,John
321,Consett William,,,,
322,Constable John,,,,John
323,Cook John,,,,John
324,Cook Rochard,,,,
325,Cooke Edmund,,,,Edmund
326,Cooke George,,,,George
327,Cooke John,,,,
328,Cooke Thomas,,,,Thomas
329,Cooke William,,,,William
330,Cooper Allen,,,,Allen
331,Cooper E.,,,,
332,Corbynpo Joseph,,,,
333,Corner Isaac,,,,Isaac
334,Corner John,England,,,John
335,Cotton Charles Bowland,St Olave Hart St London,,,Charles
336,Cotton John,,,,John
337,Cotton Joseph,,,,Joseph
338,Court Jonathan,,,,Jonathan
339,Court Matthew,,,,Matthew
340,Court Thomas Watken,,,,Thomas
341,Courthope Nathaniel,,,,Nathaniel
342,Cowles Jacob,England,,,Jacob
343,Cowper George,England,,,George
344,Coxon John,,,,John
345,Coxwell Edward,Bibury Glos,,m 1 Jan 1785 St Martin_in_the_Fields= London= Letitia Inge,Edward
346,Coxwell James,pa St George's Hanover Sq London,,,James
347,Coytmore Rowland,,,,Rowland
348,Crabb James George,St Mary's= Islington= London,,,James
349,Crabb Richard,,,,Richard
350,Craddock John,,,,John
351,Cragie John,,,,
352,Craig John,,,,John
353,Craig Milliken,Bleach Field Linlithgow,,,Milliken
354,Craigie John,,,,John
355,Cranstoun John,Scotland,,,John
356,Creswell Francis,,,,
357,Cribb John,,,,John
358,Crichton Thomas,,,,Thomas
359,Crihton James,,,,
360,Cristall John,,,,John
361,Cromartie James,,,,James
362,Crompton William,,,,
363,Cross John,,,,John
365,Crowther William,,,,
366,Cruickshank John,,,,
367,Cruickshank William,,,,
368,Cumberlege Altham,,,,
371,Cumine Adam,St Andrews Fife,,,Adam
372,Cuming Alexander,,,,
373,Cumming Edward,,,,
374,Cumming George,,,,George
375,Cumming Robert,,,,
376,Cummings Robert,,,,Robert
377,Curling Robert,,,,Robert
378,Curtis Anthony,,,,Anthony
379,Curtis George,England,,,George
380,Cush Nathaniel,,,,Nathaniel
381,D'Abbadie Francis,,,,Francis
382,Dale James,,,,James
383,Dale John,,,,John
384,Dalrymple James,Scotland,,,James
385,Dalrymple Robert Stair,North Berwick Haddington,,,Robert
386,Dalrymple William H. C.,,,,
387,Dampier Edward,,,,Edward
388,Asquith David,,,,David
389,Dance Nathaniel jr,,,,
390,Daniell Edward M.,,,,
391,D'Auvergne Philip,,,,Philip
392,Davis William James,England,,,William
393,Davison John,,,,John
394,Dawes Abraham,,,,Abraham
395,Dawkins Jeremiah,Llanelly Carmarthen,,,Jeremiah
396,Dawney Thomas,Aylesbury Bucks,,,Thomas
397,Deane Charles,,,,Charles
398,Debuke Thomas,,,,Thomas
400,Delafons Thomas,,,,Thomas
401,Dempster John Hamilton,,,,John
402,Atkins Thomas,,,,Thomas
403,Denis John,,,,
404,Dennett Thomas,,,,Thomas
405,Dennis Benjamin,,,,Benjamin
406,Dennison Robert,,,,Robert
407,Denniston William,,,,
408,Denny George,England,,m 20 Nov 1828 Calcutta= Catherine Helen Todd,George
409,Denton Thomas,England,,,Thomas
410,D'Esterre William Parker,Ireland,,,William
411,Dethick Thomas,,,m Elizabeth,Thomas
412,Dewar James,,,,James
413,Dickenson Henry,,,,Henry
414,Dixon George,,,,George
415,Dobree John,St Peter Port Guernsey,,,John
417,Dodds Luke,Jarrow co Durham,,,Luke
418,Dominicus Abraham,,,,Abraham
419,Donaldson William,Aberdeenshire,,,William
420,Dorin James,,,,
422,Dormer Thomas,Lambourn Berks,,,Thomas
423,Dorrell Richard,,,,
424,Dorrill Robert,,,,Robert
425,Douglas George,,,,George
426,Douglas Peter,,,,Peter
427,Doves Cobham,,,,Cobham
428,Doveton Richard,,,,Richard
429,Downton Nicholas,,,,Nicholas
430,Drake James J.,,,,
431,Drake Richard,,,,Richard
432,Driver Thomas,,,,Thomas
433,Drummond Adam,Scotland,,,Adam
434,Drummond Andrews,,,,
435,Drummond Charles,Scotland,,,Charles
436,Drummond Robert,,,,Robert
437,Dudman Joseph,St Paul's Deptford,shipbuilder,m 18 Jul 1818 Llandygwydd= Cardigan= Catherine Welladvice Shirreff Lumsden Shirreff b 13 Sep 1819,Joseph
438,Duffield Henry,,,,Henry
439,Duffin Robert,,,,Robert
440,Dumbleton Thomas,East Horsley Surrey,,,Thomas
441,Dunbar William Henry,Wick,Capt,,William
442,Dundas Charles,Alloa Scotland,,,Charles
443,Dundas George,Toulouse France,,,George
444,Dundas James,,,,James
445,Dundas Philip,Scotland,,,Philip
446,Dundas Ralph,,,,Ralph
447,Dunkin Thomas,Penzance Madron Cornwall,,m 18 Dec 1834 Bude= Cornwall= Susan Noel Edwards,Thomas
448,Dunlop Anthony,,,,Anthony
449,Dunlop David,Scotland,,,David
450,Dunsford William,Tiverton Devon,,,William
451,Durand John Jun,,,,
452,Earle William,,,,William
453,Eastabrooke John,England,,,John
455,Eastfield Wm. John,,,,
456,Backwell Duncan,,,,Duncan
457,Eckford John,Dunfermline,,,John
458,Edgecumbe Leonard,,,,Leonard
459,Edmeades William,Nursted Kent,,,William
460,Edwards James,St Olave's Southwark London,brandy merchant,,James
461,Edwards John,,,,John
462,Edwards Lewis Owen,Christleton Cheshire,,,Lewis
463,Edwards Richard,England,,,Richard
464,Egerton William,,,,William
465,Eggleston C.,,,,
466,Eglinton Anthony,,,,Anthony
467,Eilbreck B.,,,,
468,Elkington James,England,,,James
469,Elkington Thomas,,,,Thomas
470,Elliott Joseph,,,,
471,Ellis Edward Smith,St Mary's pa Castlegate York,,,Edward
472,Elliston Edmund,,,,Edmund
473,Elliston Edward,,,,Edward
474,Elmore Henry Mathias,,,,Henry
475,Elphinstone William,,Lord,m 24 Jun 1774 Elizabeth eldst dau of William Fullerton of Carstairs (then assumed surname of Fullerton_Elphinstone),William
476,Elsmore John,,,,John
477,Erwyn George,,,,
478,Esplin John,Edinburgh,merchant,,John
479,Evans Arthur,,,,Arthur
480,Evans John,Neath Glamorgan,,,John
481,Everest Roger Barnston,,,,Roger
483,Eyles James,England,,,James
484,Eymout John,,,,John
485,Fairfax James,England,,,James
486,Fairfax William,St Helen's pa Worcester,,,William
487,Fairfull Robert,England,,,Robert
488,Faith William,,,,William
489,Farington Richard Atherton,,,,
490,Farington William,,,,
491,Farquharson James,Sampford Hall Essex,,,James
492,Farrer Henry,Yorkshire,,,Henry
493,Farrer William Elisha,,,,
494,Farrer William Ward,St Stephen's Walbrook London,,,William
495,Fea Peter,,,,Peter
496,Fearon James Peter,London,,,James
497,Fellers John H.,,,,
498,Fellowes William Dorset,,,,
499,Fenn Bernard,,,,Bernard
500,Fenner Parson,,,,
502,Fergusson Benjamin,,,,Benjamin
503,Fernell William,,,,William
504,Fewson Thomas,,,,Thomas
505,Field Thomas,,,,Thomas
506,Field Timothy,,,,Timothy
507,Fiott Edward,,,,Edward
508,Fisher Benjamin,,,,Benjamin
509,Fisher Francis,,,,Francis
510,Fisher Robert,,,,Robert
511,FitzHugh William,,,,William
512,Fletcher Henry,,,,
513,Flower John,,,,John
514,Fogo Alexander,Logie Scotland,,,Alexander
515,Foord Edward,St Mary's Rotherhithe,ropemaker,,Edward
516,Foot John,,,,John
517,Forbes George,Edinburgh,,,George
518,Forbes James Keith,Scotland,,,James
519,Ford Henry William,,,,Henry
520,Forrest Thomas,,,,
521,Forrester Bernard,,,,Bernard
522,Fortescue Francis,,,,Francis
523,Foster James,,,,James
524,Foster William,,,,William
525,Fotheringham Alexander,,,,Alexander
526,Foubister Peter,,,,Peter
527,Foulis Charles,,,,Charles
528,Foulkes John Davy,,,,John
529,Foulls Charles,,,,
530,Fowler Francis,,,,Francis
531,Fowler Robert Cook,Dissenters' Meeting Yarmouth,esq,,Robert
533,Fox Gilson Reeves,St Mary's Bow Middx,,,Gilson
534,Fox John,England,,m 5 Jul 1788 St George's Hanover Sq= London= Ann Stairbank,John
535,Foxall Thomas,,,,Thomas
536,Foy James,Dublin,,,James
538,Francklin Richard,,,,
539,Franklin John,,,,John
540,Franklin John Robinson,Windsor Nova Scotia,,,John
542,Fraser Hugh,Scotland,,,Hugh
543,Fraser John Small Henry,St James' Piccadilly London,,,John
544,Fraser William,Scotland,,,William
545,Frayer James,,,,James
546,Freeman Fielder,,,,Fielder
547,Freeman John,,,,John
548,Freke William,,,,William
549,Frognall Phineas,,,,Phineas
550,Frognall Thomas,,,,Thomas
551,Fulcher William Barker,,,,William
552,Gaillard Frederick,,,,
553,Gale John,Love Lane Shadwell Middx,,,John
554,Gallon John,,,,John
555,Galloway,,,,
556,Gamage William Dick,Canterbury,,,William
557,Gardiner Henry,,,,Henry
558,Gardiner Martin,,,,Martin
559,Gardner Patrick,,,,
560,Garnault Joseph,Christ Church Middx,,,Joseph
561,Gayer John,,,,John
562,Gelston William,,,,William
563,Gerrard John,,,,John
564,Gib Colin,,,,Colin
565,Gilbert Charles,,,,Charles
566,Gilbert Thomas,,,,Thomas
567,Gilmore John,,,,John
568,Gilmore Mungo,,,,Mungo
569,Gilpin Thomas,pa Christ Church Surrey,,,Thomas
570,Glasspoole Richard,Blunderston Suffolk,,,Richard
571,Gledstanes Albert,,,,
572,Glegg Henry,,,,Henry
573,Glover Alphonsus,,,,
574,Godfrey Benjamin,,,,Benjamin
575,Godfrey Edward,,,,Edward
576,Gooch George,Yarmouth Norfolk,,,George
577,Goodall Bartholomew,,,,Bartholomew
578,Goodfellow John,,,,John
579,Goodlad William,,,,William
580,Goodman Samuel,,,,Samuel
581,Goodsole John,,,,John
582,Gordon Charles,,,,Charles
583,Gordon John,,,,John
584,Gordon Peter,,,,Peter
585,Gordon William,,,,William
586,Gore Arthur,,,,Arthur
587,Gosfright Richard,,,,Richard
588,Gosnall Benjamin,,,,Benjamin
589,Gostlin Francis,,,,Francis
590,Gough Charles,11th,Sir= MP of Perry Hall staff,,Charles
591,Gough Henry,,,,Henry
592,Gowland Benjamin,,,,Benjamin
593,Graham Charles,Cameron Fifeshire,,m 2 Jan 1805 St Pancras= London= Jane Brown Charles b 11 Dec 1805= John b 6 May 1808= William Henry b 1 Jul 1810= Margaret b 14 Jul 1813= James b 5 May 1817= Katharine b 5 Oct 1821,Charles
594,Graham Thomas,,,,Thomas
595,Grainger Richard,,,,Richard
596,Grant James Ludovic,,,,James
597,Grant Peter,St Cuthbert's pa Edinburgh,junior writer,,Peter
598,Grantham Caleb,,,,Caleb
599,Grantham Nathaniel,,,,Nathaniel
600,Grantham Sir Thomas,,,,Sir
601,Gray Alexander,Scotland,,,Alexander
602,Gray George,Portsoy Banffshire,,,George
603,Green Abraham,,,m 17 Apr 1800 St Pancras= London= Sarah Griffiths (she re_m 24 Nov 1807 Ramsden Cray= Essex= James Wrigglesworth),Abraham
604,Barclay or Barkeley Charles,,,,or
606,Greenway William Brown,,,,William
607,Greer William,,,,William
608,Gregorie Charles,,,,
609,Grey Robert,Harbourgrace Conception Bay Newfoundland,,,Robert
611,Gribble Charles Besly,Barnstaple Devon,,m 22 Sep 1802 Barnstaple= Devon= Mary Ann Baker Henry b 7 Mar 1804 Charles Besly b 6 Jul 1807 Ellen Cuthbert b 25 May 1814 Catherine Rose b 24 Apr 1817 Emily Eva b 27 Apr 1819,Charles
612,Gribble Henry,Cross St Chapel Barnstaple Devon,,,Henry
613,Grieve Andrew,Enfield Middx,,,Andrew
614,Griffin John,,,,John
615,Grote Joseph,,,,Joseph
616,Grove Philip,,,,Philip
617,Grueber Henry,,,,Henry
618,Guise John,,,,John
619,Gyfford William,,,,
620,Haddock Joseph,,,,Joseph
621,Haggis Charles,,,,Charles
622,Haig James,,,,James
623,Haig William,Alloa,,,William
624,Haldane James,,,,James
625,Haldane John,Auchterarder Perthshire,,,John
626,Haldane Robert,,,,Robert
627,Hale Roger,,,,Roger
628,Halkett Henry,Pitfern Fife,,,Henry
629,Hall John,Scarborough Yorks,,,John
630,Hall Joseph,,,,Joseph
631,Hall Richard,,,,Richard
632,Hall Sampson,England,,,Sampson
633,Hall William,,,,William
634,Hallett John,,,,John
635,Hallewell John,,,,John
636,Halliburton James,Dundee,merchant,,James
637,Hambly William,,,,
638,Hamilton Alexander,,,,Alexander
639,Hamilton Archibald,Coylton Ayrshire,,,Archibald
640,Hamilton James,,,,James
641,Hamilton John,Coilsfield Ayrshire,,,John
642,Hamilton Montgomerie,Scotland,,,Montgomerie
643,Hamilton William,London,merchant,,William
644,Hammett William,,,,William
645,Hammond Henry,,,,Henry
646,Hancock Nathaniel,,,,Nathaniel
647,Hannay Andrew,Wigton Ayrshire,,,Andrew
648,Hanslapp Robert,,,,
649,Hardcastle William,England,,,William
650,Harding John,,,,John
651,Hardinge Richard,England,,,Richard
652,Hardwicke Peter,,,,
653,Hardyman William Henry,Basingstoke Hants,esq,,William
655,Harman Thomas Jr.,,,,
657,Harriman Edward,Workington Cumberland,,,Edward
658,Harrington Thomas Talbot,,,,
659,Harris Christopher,,,,Christopher
660,Harris Francis,,,,Francis
661,Harris Henry,Monkleigh Devon 2nd,esq,m 23 May 1833 Longwood House= St Helena= Henrietta Montgomerie,Henry
662,Harris Thomas Herbert,Sturminster Marshall Dorset,,,Thomas
663,Harrison Edward,Bermondsey Surrey,curate,,Edward
664,Harrison William,,,,William
665,Harrower George,,,,George
666,Harry Benjamin,,,,Benjamin
667,Harry Thomas,,,,Thomas
668,Hasell John,,,,
669,Hassey John,,,,John
670,Hatch John,,,,John
671,Havard Thomas,St Martin's Haverfordwest,,m 19 May 1804 St Peter's Cornhill= London= Ann Halwick= widow Dorothy b 8 May 1808,Thomas
672,Haviside Thomas,,,,
673,Haviside William,,,,
674,Hawes Stephen,Lowestoft Suffolk,,,Stephen
675,Hawkey William,Liskeard Cornwall,,m Mananne Score,William
676,Hawkins Giles,,,,Giles
677,Hawkins William,,,,William
678,Hay James,,,,James
679,Hay Robert,Hopps East Lothian,,,Robert
680,Hay William,St Nicholas Garwald East Lothian,,,William
681,Hayes John,,,,John
682,Hayes Thomas,,,,Thomas
683,Haynes William,,,,William
684,Hayter George,,,,George
685,Hayward John,England,,m 1 Jul 1828 St George's= Camberwell= Surrey= Ann Goodson,John
686,Head James,,,,James
687,Heath John,,,,John
688,Heath William,,,,William
689,Heathorn J L,,,,
690,Heathorn William,,,,William
691,Heaviside Thomas,,,,
692,Hedley Thomas,,,,Thomas
693,Heming George,Caldecote Hall Warwicks,,,George
694,Henderson George,,,,George
695,Henning Alexander,,,,Alexander
696,Hepworth Brodie,,,m 20 May 1783 St Martin_in_the_Fields= London= Ann Fortescue (she re_m 13 Dec 1800 St Clement Danes= London= John Taylor= Esq= widwr= who d 1832),Brodie
697,Herbert Philip,England,,,Philip
698,Hereford John,,,,John
699,Hicks John,,,,John
700,Hicks Zachary,,,,Zachary
701,Hide Jonathan jr.,,,,
703,Hide Samuel,,,,
704,Hill Charles &Dennis Benjamin,,,,
705,Hill John,,,,John
706,Hillman John,,,,John
707,Hilton John Woodbridge,Allhallows Barking London,,,John
708,Hinde Thomas,,,,Thomas
709,Hindman Josiah,,,,Josiah
710,Hindman Thomas,,,,Thomas
711,Hine John,England,,,John
712,Hippon Anthony,,,,Anthony
713,Hitchings John,,,,John
714,Hoadley Henry,,,,Henry
715,Hoare Daniel Griffiths,,,,Daniel
